Author,Title,
William Bolton,Mechatronics: Electronic Control Systems in Mechanical Engineering,
William Bolton,Instrumentation and control systems,
William Bolton,Programmable Logic Controllers,
William Bolton,Engineering Science,
William Bolton,Higher Engineering Science,
William Bolton,Mechatronics: A Multidisciplinary Approach,
William Bolton,Mechanical Science,
William Bolton,Control Engineering,
William Bolton,Materials for Engineering,
William Bolton,Industrial Control And Instrumentation,
William Bolton,Control Systems,
William Bolton,Mathematics for Engineering,
William Bolton,Engineering Materials,
William Bolton,Mechanical Science,
William Bolton,Newnes Engineering Materials Pocket Book,
William Bolton,Pneumatic and Hydraulic System,
William Bolton,Engineering and Commercial Functions,
William Bolton,"Production Technology: Processes, Materials and Planning ",
William Bolton,Manufacturing Technology for Higher Technicians,
Harriet Beecher Stowe,Uncle Tom's Cabin,
Harriet Beecher Stowe,Dred: A Tale of the Great Dismal Swamp,
Harriet Beecher Stowe,The Minister's Wooing,
Harriet Beecher Stowe,A Key to Uncle Tom's Cabin,
Harriet Beecher Stowe,Old Town Folks,
Harriet Beecher Stowe,The Pearl of Orr's Island,
Harriet Beecher Stowe,Palmetto Leaves,
Harriet Beecher Stowe,Pink and white tyranny,
Harriet Beecher Stowe,Lady Byron vindicated,
Harriet Beecher Stowe,Collected Works of Harriet Beecher Stowe,
Harriet Beecher Stowe,Life and letters of Harriet Beecher Stowe,
Harriet Beecher Stowe,Stories and sketches for the young,
Harriet Beecher Stowe,"Little Pussy Willow, Also, the Minister's Watermelons",
Harriet Beecher Stowe,Uncle Tom's Cabin: Unabridged with 120 Original Illustrations,
Harriet Beecher Stowe,The Colored Patriots of the American Revolution,
Jules Verne,Twenty Thousand Leagues Under the Sea,
Jules Verne,Around the World in Eighty Days,
Jules Verne,Journey to the Center of the Earth,
Jules Verne,L'île mystérieuse,
Jules Verne,From the Earth to the Moon (De la Terre à la Lune),
Jules Verne,Five Weeks in a Balloon,
Jules Verne,In Search of the Castaways,
Jules Verne,Michael Strogoff: The Courier of the Czar,
Jules Verne,Around the Moon,
Jules Verne,"Dick Sand, A Captain at Fifteen",
Jules Verne,Die Abenteuer des Kapitäns Hatteras,
Jules Verne,Two Years' Vacation (Deux ans de vacances),
Jules Verne,Master of the World,
Jules Verne,Eight Hundred Leagues on the Amazon,
Jules Verne,Off on a Comet,
Jules Verne,Robur the Conqueror,
Jules Verne,The Underground City,
Jules Verne,The Carpathian Castle,
Jules Verne,The Survivors of the Chancellor,
Jules Verne,Paris in the Twentieth Century,
Jules Verne,The Fur Country,
Jules Verne,Facing the Flag,
Jules Verne,An Antarctic Mystery Illustrated,
Jules Verne,The Purchase of the North Pole,
Jules Verne,The Steam House,
Jules Verne,Shipwrecked Family: Marooned with Uncle Robinson,
Jules Verne,The Begum's Fortune,
Jules Verne,The Lighthouse at the End of the World,
Jules Verne,The Lottery Ticket,
Jules Verne,Mathias Sandorf,
Jules Verne,A Floating City,
Jules Verne,Tribulations of a Chinaman in China,
Jules Verne,Propeller Island,
Jules Verne,Claudius Bombarnac,
Jules Verne,The Archipelago on Fire,
Jules Verne,The Adventures of Three Englishmen and Three Russians in South Africa,
Jules Verne,The Vanished Diamond,
Jules Verne,The Green Ray,
Jules Verne,Kéraban the Inflexible,
Jules Verne,Invasion of the Sea,
Jules Verne,Mistress Branican,
Jules Verne,César Cascabel,
Jules Verne,The Blockade Runners,
Jules Verne,"Texar's Revenge, or, North Against South",
Jules Verne,The Chase of the Golden Meteor,
Jules Verne,The Kip Brothers,
Jules Verne,The Will of an Eccentric,
Jules Verne,The Flight to France,
Jules Verne,Family Without a Name,
F. Scott Fitzgerald,The Great Gatsby,
F. Scott Fitzgerald,Tender Is the Night,
F. Scott Fitzgerald,This Side of Paradise,
F. Scott Fitzgerald,The Beautiful and Damned,
F. Scott Fitzgerald,The Love of the Last Tycoon,
F. Scott Fitzgerald,The Short Stories of F. Scott Fitzgerald,
F. Scott Fitzgerald,"Six Tales of the Jazz Age, and Other Stories",
F. Scott Fitzgerald,The Curious Case of Benjamin Button,
F. Scott Fitzgerald,The Diamond as Big as the Ritz,
F. Scott Fitzgerald,The Crack-Up,
F. Scott Fitzgerald,Flappers and Philosophers,
F. Scott Fitzgerald,All the Sad Young Men,
F. Scott Fitzgerald,"Dear Scott, Dearest Zelda: The Love Letters of F. Scott and Zelda Fitzgerald",
F. Scott Fitzgerald,The Vegetable,
F. Scott Fitzgerald,The Basil and Josephine Stories,
F. Scott Fitzgerald,The Pat Hobby Stories,
F. Scott Fitzgerald,Taps at Reveille,
F. Scott Fitzgerald,I'd Die for You and Other Lost StoriesI'd Die for You and Other Lost Stories,
F. Scott Fitzgerald,Babylon Revisited and Other Stories,
F. Scott Fitzgerald,The Jelly-bean,
F. Scott Fitzgerald,The letters of F. Scott Fitzgerald,
F. Scott Fitzgerald,Porcelain and Pink: Large Print,
F. Scott Fitzgerald,The Best Early Stories of F. Scott Fitzgerald,
F. Scott Fitzgerald,The Lees of Happiness,
F. Scott Fitzgerald,The Four Fists,
F. Scott Fitzgerald,The Great Gatsby: A Novel: Illustrated Edition,
F. Scott Fitzgerald,Dalyrimple Goes Wrong,
F. Scott Fitzgerald,The Sensible Thing,
F. Scott Fitzgerald,Tarquin of Cheapside,
F. Scott Fitzgerald,Best of F. Scott Fitzgerald,
F. Scott Fitzgerald,"Under the Red, White, and Blue",
F. Scott Fitzgerald,Echoes of the Jazz Age,
F. Scott Fitzgerald,The Curious Case of Benjamin Button and Other Stories,
F. Scott Fitzgerald,An Alcoholic Case,
F. Scott Fitzgerald,Love in the Night,
F. Scott Fitzgerald,Bernice Bobs Her Hair and Other Stories,
F. Scott Fitzgerald,On Booze,
Ernest Hemingway,The Old Man and the Sea,
Ernest Hemingway,A Farewell to Arms,
Ernest Hemingway,For Whom the Bell Tolls,
Ernest Hemingway,The Sun Also Rises,
Ernest Hemingway,A Moveable Feast,
Ernest Hemingway,To Have and Have Not,
Ernest Hemingway,In Our Time,
Ernest Hemingway,Death in the Afternoon,
Ernest Hemingway,Green Hills of Africa,
Ernest Hemingway,Islands in the Stream,
Ernest Hemingway,Across the River and into the Trees,
Ernest Hemingway,Men Without Women,
Ernest Hemingway,The Garden of Eden,
Ernest Hemingway,The Nick Adams Stories,
Ernest Hemingway,The Torrents of Spring,
Ernest Hemingway,Winner Take Nothing,
Ernest Hemingway,The Fifth Column and the First Forty-Nine Storie,
Ernest Hemingway,The Snows of Kilimanjaro,
Ernest Hemingway,True at First Light,
Ernest Hemingway,The Dangerous Summer,
Ernest Hemingway,Three Stories and Ten Poems,
Ernest Hemingway,Ernest Hemingway on Writing,
Ernest Hemingway,The Fifth Column and Four Stories of the Spanish Civil War,
Ernest Hemingway,Hemingway on war,
Ernest Hemingway,Under Kilimanjaro,
Ernest Hemingway,Hemingway on Fishing,
Ernest Hemingway,Dateline: Toronto,
Ernest Hemingway,The essential Hemingway,
Ernest Hemingway,Men at war,
Ernest Hemingway,Hemingway on hunting,
Paul Horowitz,The Art of Electronics,
Paul Horowitz,Practical Electronics for Inventors,
Paul Horowitz,Make: Electronics: Learning Through Discovery,
Paul Horowitz,Getting Started in Electronics,
Charles K. Alexander,Fundamentals of Electric Circuits,
Charles K. Alexander,Applied Circuit Analysis,
Charles K. Alexander,Loose Leaf Fundamentals of Electric Circuits,
Charles K. Alexander,Problem Solving Made Almost Easy: A Companion to Fundamentals of Electric Circuits ,
Charles K. Alexander,ISE Fundamentals of Electric Circuits,
Charles K. Alexander,Engineering Skills for Career Success,
Charles K. Alexander,Solutions Manual to Fundamentals of Electric Circuits Charles K. Alexander,
Charles K. Alexander,Fundamentals of Electric Circuits E-Text ,
Matthew Sadiku,Numerical Techniques in Electromagnetics,
Matthew Sadiku,Fundamentals of Electric Circuits,
Matthew N.O. Sadiku,Elements of Electromagnetics ,
Matthew N.O. Sadiku,Signals and Systems: A Primer with MATLAB,
Matthew N.O. Sadiku,Emerging Internet-Based Technologies,
Matthew N.O. Sadiku,"Computational Electromagnetics with MATLAB, Fourth Edition",
Matthew N.O. Sadiku,Monte Carlo Methods for Electromagnetics ,
Matthew N.O. Sadiku,Metropolitan Area Networks ,
Matthew N.O. Sadiku,Applied Circuit Analysis,
Matthew N.O. Sadiku,Optical and Wireless Communications ,
Matthew Sadiku,Emerging Green Technologies,
Matthew Sadiku,Introduction to Broadband Communication Systems,
Matthew Sadiku,Living a Life That Pleases God Matthew N.O. Sadiku,
Matthew Sadiku,Performance Analysis of Computer Networks,
Charles K. Alexander,Problem Solving Made Almost Easy: A Companion to Fundamentals of Electric Circuits ,
Paul Scherz,Practical Electronics for Inventors,
Paul Scherz,The Evening of Life: The Challenges of Aging and Dying Well,
Paul Scherz,Science and Christian Ethics,
Simon Monk ,Programming Arduino: Getting Started with Sketches,
Simon Monk ,Programming the Raspberry Pi: Getting Started with Python,
Simon Monk ,"Hacking Electronics: Learning Electronics with Arduino and Raspberry Pi, Second Edition",
Simon Monk ,"30 Arduino Projects for the Evil Genius, Second Edition",
Simon Monk ,Raspberry Pi Cookbook: Software and Hardware Problems and Solutions,
Simon Monk ,Programming FPGAs: Getting Started with Verilog,
Simon Monk ,Make Your Own PCBs with EAGLE: From Schematic Designs to Finished Boards,
Simon Monk ,Arduino + Android Projects for the Evil Genius: Control Arduino with Your Smartphone Or Tablet,
Simon Monk ,Micro:bit for Mad Scientists: 30 Clever Coding and Electronics Projects for Kids,
Simon Monk ,15 Dangerously Mad Projects for the Evil Genius,
Simon Monk ,Practical Electronics for Inventors,
Simon Monk ,Fritzing for Inventors: Take Your Electronics Project from Prototype to Product,
Simon Monk ,Hacking Electronics: An Illustrated DIY Guide for Makers and Hobbyists,
Simon Monk ,Programming the BBC Micro:bit: Getting Started with MicroPython,
Fawwaz T. Ulaby,Fundamentals of Applied Electromagnetics,
Fawwaz T. Ulaby,Electromagnetics for Engineers,
Michel Maharbiz,Circuits ,
Fawwaz T. Ulaby,Signals and Systems: Theory and Applications,
Fawwaz T. Ulaby,Handbook of Radar Scattering Statistics For Terrain ,
Fawwaz T. Ulaby,Microwave Remote Sensing: Microwave Remote Sensing Fundamentals and Radiometry ,
Richard K Moore,Microwave Remote Sensing: Radar Remote Sensing And Surface Scattering and Emission Theory,
Fawwaz T. Ulaby,Image Processing for Engineers ,
Umberto Ravaioli,Fundamentals of Applied Electromagnetics,
Ben G. Streetman,Solid State Electronic Devices,
Ben G. Streetman,Semiconductor Device Fundamentals,
Richard C. Dorf,The Engineering Handbook,
Richard C. Dorf,Modern Control Systems,
Richard C. Dorf,Pocket Book Of Electrical Engineering Formulas,
Richard C. Dorf,Technology Ventures: From Idea to Enterprise,
Richard C. Dorf,"Sensors, Nanoscience, Biomedical Engineering, and Instruments: Sensors Nanoscience Biomedical Engineering ",
Richard C. Dorf,"Electronics, Power Electronics, Optoelectronics, Microwaves, Electromagnetics, and Radar",
Richard C. Dorf,Millennium Stocks,
Richard C. Dorf,"Technology, Humans, and Society",
Richard C. Dorf,Introduction to Electric Circuits ,
Richard C. Dorf,"Circuits, Signals, and Speech and Image Processing ",
Richard C. Dorf,MATLAB and Simulink Student Version 2011a ,
Richard C. Dorf,The Technology Management Handbook ,
Richard C. Dorf,"Circuits, Devices and Systems",
Ben G. Streetman,"Modern Control Systems, EBook, Global Edition ",
Kyotaro Nishimura,Grands Dtectives N'ont Pas Froid,
Kyotaro Nishimura,Petits Crimes Japonais,
Kyotaro Nishimura,Les Dunes De Tottori,
Kyotaro Nishimura,The Mystery Train Disappears,
Kyotaro Nishimura,Inspector Totsukawa Challenge On,
Kyotaro Nishimura,Koroshi No Soukyokusen,
Kyotaro Nishimura,Totsukawa Inspector Elegy for a Woman,
Kyotaro Nishimura,Kogen Railway,
Kyotaro Nishimura,Michinoku Satsui No Tabi,
Kyotaro Nishimura,Tohoku Shinkansen Hayate Satsujin Jiken,
Katherine Addison,The Goblin Emperor,
Katherine Addison,The Angel of the Crows,
Katherine Addison,"The Goblin Emperor (Goblin Emperor, Bk 1)",
Katherine Addison,The Witness for the Dead,
Katherine Addison,The Witness for the Dead Sneak Peek,
Katherine Addison,The Cobbler's Boy,
ElizaBeth Gilligan,"Magic's Silken Snare (Silken Magic, Book 1)",
ElizaBeth Gilligan,"The Silken Shroud (Silken Magic, Bk. 2)",
Sinclair Lewis,Babbitt,
Sinclair Lewis,Main Street,
Sinclair Lewis,"Arrowsmith, Elmer Gantry, Dodsworth",
Sinclair Lewis,It Can't Happen Here,
Sinclair Lewis,Elmer Gantry,
Sinclair Lewis,Dodsworth,
Sinclair Lewis,Our Mr. Wrenn,
Sinclair Lewis,Kingsblood Royal,
Sinclair Lewis,Free Air,
Sinclair Lewis,The Trail of the Hawk,
Sinclair Lewis,Main Street ; Babbitt,
Sinclair Lewis,The Innocents: A Story for Lovers,
Sinclair Lewis,World so wide,
Sinclair Lewis,The Job,
Sinclair Lewis,The Man Who Knew Coolidge,
Sinclair Lewis,Gideon Planish,
Sinclair Lewis,The prodigal parents,
Sinclair Lewis,Mantrap,
Sinclair Lewis,Cass Timberlane,
Sinclair Lewis,Hike and the Aeroplane,
Sinclair Lewis,Ann Vickers,
Sinclair Lewis,Bethel Merriday,
Sinclair Lewis,Selected short stories of Sinclair Lewis,
Sinclair Lewis,Work of Art,
Sinclair Lewis,"Go East, Young Man: Sinclair Lewis on Class in America",
Sinclair Lewis,The Cat of the Stars,
Sinclair Lewis,Moths in the Arc Light,
Sinclair Lewis,The Willow Walk,
Aleksandr Solzhenitsyn,The Gulag Archipelago,
Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,
Aleksandr Solzhenitsyn,Cancer Ward,
Aleksandr Solzhenitsyn,In the First Circle,
Aleksandr Solzhenitsyn,August 1914,
Aleksandr Solzhenitsyn,Matryona's Place,
Aleksandr Solzhenitsyn,November 1916,
Aleksandr Solzhenitsyn,The Oak and the Calf,
Aleksandr Solzhenitsyn,Two Hundred Years Together,
Aleksandr Solzhenitsyn,Warning to the West,
Aleksandr Solzhenitsyn,Stories and Prose Poems,
Aleksandr Solzhenitsyn,Lenin in Zurich: Chapters,
Aleksandr Solzhenitsyn,Nobel Lecture,
Aleksandr Solzhenitsyn,Rebuilding Russia,
Aleksandr Solzhenitsyn,For the Good of the Cause,
Aleksandr Solzhenitsyn,Apricot Jam: and Other Stories,
Aleksandr Solzhenitsyn,Lettre aux dirigeants de l'Union soviétique,
Aleksandr Solzhenitsyn,An Incident at Krechetovka Station,
Aleksandr Solzhenitsyn,In the First Circle: The First Uncensored Edition,
Aleksandr Solzhenitsyn,We Never Make Mistakes,
Aleksandr Solzhenitsyn,The Mortal Danger: How Misconceptions about Russia Imperil America,
Aleksandr Solzhenitsyn,"The Gulag Archipelago, 1918-1956: An Experiment in Literary Investigation, I-IIv",
Aleksandr Solzhenitsyn,August 1914: A Novel: The Red Wheel I,
Aleksandr Solzhenitsyn,"March 1917: The Red Wheel, Node III, Book 3",
Aleksandr Solzhenitsyn,Gulag,
Fyodor Dostoevsky,Crime and Punishment,
Fyodor Dostoevsky,Demons,
Fyodor Dostoevsky,Notes from Underground,
Fyodor Dostoevsky,The Gambler,
Fyodor Dostoevsky,Poor Folk,
Fyodor Dostoevsky,Zapiski iz mertvogo doma,
Fyodor Dostoevsky,The Double,
Fyodor Dostoevsky,The Raw Youth,
Fyodor Dostoevsky,Humiliated and Insulted,
Fyodor Dostoevsky,The Eternal Husband,
Fyodor Dostoevsky,A Writer's Diary,
Fyodor Dostoevsky,The Brothers Karamazov,
Fyodor Dostoevsky,Uncle's Dream,
Fyodor Dostoevsky,The Best Short Stories of Fyodor Dostoevsky,
Fyodor Dostoevsky,The Village of Stepanchikovo,
Fyodor Dostoevsky,Netochka Nezvanova,
Fyodor Dostoevsky,The Double and the Gambler,
Fyodor Dostoevsky,Collected Works of Fyodor Dostoyevsky,
Fyodor Dostoevsky,Notes from Underground and the Double,
Fyodor Dostoevsky,Great Short Works of Fyodor Dostoevsky,
Fyodor Dostoevsky,Winter Notes on Summer Impressions,
Fyodor Dostoevsky,Poor Folk and Other Stories,
Fyodor Dostoevsky,Fiódor Dostoievski: Crimen y castigo / Los hermanos Karamazov,
Fyodor Dostoevsky,A Weak Heart,
Fyodor Dostoevsky,Polzunkov,
Sukanya Venkatraghavan,Dark Things,
Malorie Blackman,Pig-Heart Boy,
Malorie Blackman,Knife Edge,
Malorie Blackman,Double Cross,
Malorie Blackman,Black & White,
Malorie Blackman,Checkmate,
Malorie Blackman,Boys Don't Cry,
Malorie Blackman,Noughts & Crosses,
Malorie Blackman,Chasing the Stars,
Malorie Blackman,Thief!,
Malorie Blackman,Cloud Busting,
Malorie Blackman,Noble Conflict,
Malorie Blackman,Nought Forever: World Book Day 2019,
Malorie Blackman,Hacker,
Malorie Blackman,The Stuff of Nightmares,
Malorie Blackman,A.N.T.I.D.O.T.E.,
Malorie Blackman,Endgame,
Malorie Blackman,The Monster Crisp-Guzzler,
Malorie Blackman,Operation Gadgetman!,
Malorie Blackman,Contact,
Malorie Blackman,An Eye for an Eye,
Malorie Blackman,Unheard Voices,
Malorie Blackman,Tell Me No Lies,
Malorie Blackman,Jon for Short,
Malorie Blackman,Robot Girl,
Malorie Blackman,"Ellie, and the Cat!",
Malorie Blackman,The Deadly Dare Mysteries,
Malorie Blackman,Dangerous Reality,
Malorie Blackman,Betsey Biggalow Is Here!,
Malorie Blackman,Trust Me,
Malorie Blackman,Hostage,
Malorie Blackman,Snow Dog,
Malorie Blackman,A Dangerous Game,
Malorie Blackman,Dead Gorgeous,
Malorie Blackman,Betsey's Birthday Surprise,
Robert H. Bishop,Mechatronics: An Introduction,
Robert H. Bishop,Learning With Labview,
Robert H. Bishop,"Mechatronic System Control, Logic, and Data Acquisition (The Mechatronics Handbook, Second Edition)",
Robert H. Bishop,"Mechatronic Systems, Sensors, and Actuators: Fundamentals and Modeling (The Mechatronics Handbook, Second Edition)",
Robert H. Bishop,The Mechatronics Handbook - 2 Volume Set (Mechatronics Handbook 2e),
Robert H. Bishop,Modern Control Systems,
Robert H. Bishop,Aerospace Engineering Handbook (Electrical Engineering Handbook),
Robert H. Bishop,Learning With Labview Pearson Etext Access Card,
Robert H. Bishop,Modern Control Systems Analysis and Design Using MATLAB and SIMULINK,
Robert H. Bishop,Learning with LabVIEW 7 Express,
Robert H. Bishop,LabVIEW 7 Express Student Edition,
Robert H. Bishop,Learning with LabVIEW,
Robert H. Bishop,Learning with LabVIEW 2009,
Alan V. Oppenheim,Discrete-Time Signal Processing: Pearson New International Edition PDF eBook,
Alan V. Oppenheim,"Signals, Systems and Inference, eBook, Global Edition",
Alan V. Oppenheim,Signals and systems,
Alan V. Oppenheim,Multi Pack: Signals and Systems (International Edition) with Computer Explorations in Signals and Systems Using MATLAB,
Alan V. Oppenheim,"Signals And Systems, 2Nd Edn",
Alan V. Oppenheim,Advanced Topics in Signal Processing,
Alan V. Oppenheim,Discrete-Time Signal Processing,
Alan V. Oppenheim,Papers on Digital Signal Processing (The MIT Press),
Alan V. Oppenheim,Digital Signal Processing,
Alan V. Oppenheim,Computer Based Exer Signal Pro Matlab: Matlab Curriculum,
Alan V. Oppenheim,Applications of Digital Signal Processing (Prentice-Hall signal processing series),
Alan V. Oppenheim,Signals. Systems and Reasoning,
Alan V. Oppenheim,Computer-Based Exercises for Signal Processing Using MATLAB Ver.5,
Alan V. Oppenheim,Adaptive Array Processing in Uncertain Inhomogeneous Media 1992-1993,
Ronald W. Schafer,Discrete-Time Signal Processing: International Edition,
Ronald W. Schafer,Discrete-Time Signal Processing (Prentice-hall Signal Processing Series),
Ronald W. Schafer,Digital Signal Processing,
Ronald W. Schafer,An Introduction to Digital Speech Processing (Foundations and Trends(r) in Signal Processing),
Ronald W. Schafer,"Mathematical Morphology and Its Applications to Image and Signal Processing (Computational Imaging and Vision, 5)",
Ronald W. Schafer,"Multidimensional Digital Signal Processing, Devices for Information Processing, and Electromagnetic Analysis and Measurement",
Ronald W. Schafer,Multidimensional Digital Signal Processing Optical Devices for Information Processing and Electromagnetic Analysis and Measurement,
Ronald W. Schafer,"Two-Dimensional Signal Processing, Optical Information Storage and Processing, and Electromagnetic Measurements",
Ronald W. Schafer,Speech Analysis (IEEE Press selected reprint series),
Ronald W. Schafer,ECHO REMOVAL BY DISCRETE GENERALIZED LINEAR FILTERING,
Ronald W. Schafer,Routledge Studies in US Foreign Policy (50 Book Series),
Ronald W. Schafer,DSP First,
Ronald W. Schafer,Discrete-Time Signal Processing (Prentice-Hall Signal Processing Series),
Ronald W. Schafer,Digital Voice Processing Theory and Applications (English),
Constantine A. Balani,Antenna Theory: Analysis and Design,
Constantine A. Balani,Advanced Engineering Electromagnetics,
Constantine A. Balani,Introduction to Smart Antennas (Synthesis Lectures on Antennas),
Constantine A. Balani,Reconfigurable Antennas (Synthesis Lectures on Antennas and Propagation),
Constantine A. Balani,Synthesis Series in Computational Electromagnetics Volume 1,
Constantine A. Balani,Support Vector Machines for Antenna Array Processing and Electromagnetics (Lectures on Computational Electromagnetics),
Constantine A. Balani,Higher-order FDTD Schemes for Waveguides and Antenna Structures (Synthesis Lectures on Computational Electromagnetics),
Constantine A. Balani,Tunable Materials with Applications in Antennas and Microwaves (Synthesis Lectures on Antennas),
Bibhutibhushan Bandopadhyay,Pather Panchali,
Bibhutibhushan Bandopadhyay,Aranyak,
Bibhutibhushan Bandopadhyay,Chander Pahar,
Bibhutibhushan Bandopadhyay,Aam Antir Bhenpu,
Bibhutibhushan Bandopadhyay,Taranath Tantrik,
Bibhutibhushan Bandopadhyay,Adarsha Hindu Hotel,
Bibhutibhushan Bandopadhyay,Debjan,
Bibhutibhushan Bandopadhyay,Mismider Kabach,
Bibhutibhushan Bandopadhyay,Aparajito,
Bibhutibhushan Bandopadhyay,Hire Manik Jale,
Bibhutibhushan Bandopadhyay,Malancha,
Bibhutibhushan Bandopadhyay,Padak,
Bibhutibhushan Bandopadhyay,Meghamala,
Bibhutibhushan Bandopadhyay,Marytirtha Hinglaj,
Bibhutibhushan Bandopadhyay,Ichamati,
Bibhutibhushan Bandopadhyay,Bipiner Sangsar,
Bibhutibhushan Bandopadhyay,Drishti Pradeep,
Bibhutibhushan Bandopadhyay,Anubartan,
Bibhutibhushan Bandopadhyay,Kedar Raja,
Bibhutibhushan Bandopadhyay,Nabagato,
Sharat Chandra Chattopadhyay,Aalo O Chhaya,
Sharat Chandra Chattopadhyay,Abhagir Swargo,
Sharat Chandra Chattopadhyay,Path Nirdesh,
Sharat Chandra Chattopadhyay,Anupamar Prem,
Sharat Chandra Chattopadhyay,Anuradha,
Sharat Chandra Chattopadhyay,Swami,
Sharat Chandra Chattopadhyay,Andhare Aalo,
Sharat Chandra Chattopadhyay,Balya Smriti,
Sharat Chandra Chattopadhyay,Mahesh,
Sharat Chandra Chattopadhyay,Lalu,
Sharat Chandra Chattopadhyay,Darpochurna,
Sharat Chandra Chattopadhyay,Paresh,
Sharat Chandra Chattopadhyay,Ramer Shumoti,
Sharat Chandra Chattopadhyay,Chobi,
Sharat Chandra Chattopadhyay,Mejdidi,
Sharat Chandra Chattopadhyay,Kashinath,
Sharat Chandra Chattopadhyay,Mamlar Fol,
Sharat Chandra Chattopadhyay,Mandir,
Sharat Chandra Chattopadhyay,Rama,
Sharat Chandra Chattopadhyay,Bijoya,
Shirshendu Mukhopadhyay,Ghunpoka,
Shirshendu Mukhopadhyay,Parthibo,
Shirshendu Mukhopadhyay,Maanabjamin,
Shirshendu Mukhopadhyay,Parapar,
Shirshendu Mukhopadhyay,Nayan Shyama,
Shirshendu Mukhopadhyay,Bangaler America Darshan,
Shirshendu Mukhopadhyay,Ekadashi O Bhut,
Shirshendu Mukhopadhyay,Charadik,
Shirshendu Mukhopadhyay,Akranta,
Shirshendu Mukhopadhyay,Pherighaat,
Shirshendu Mukhopadhyay,Madhur Janya,
